,Movie_Name,Movie_url,Genre,Movie_Year,Box_Office_(USD),Box_Office_(USD_2020),Critic_Ratings,Audience_Ratings,Runtime_(min)
123,Rififi,http://www.rottentomatoes.com/m/19201,"mysteryandthriller,drama,crime",1955,57200,554840,92.0,95.0,120.0
124,Memento,http://www.rottentomatoes.com/m/13052,mysteryandthriller,2000,25500000,38505000,93.0,94.0,116.0
125,The Sting,http://www.rottentomatoes.com/m/22491,"drama,comedy",1973,57020001,333567006,94.0,95.0,129.0
126,Terminator 2: Judgment Day,http://www.rottentomatoes.com/m/14016,"scifi,action",1991,552800,1055848,93.0,94.0,136.0
127,Gone With the Wind,http://www.rottentomatoes.com/m/9818,"romance,history,drama",1939,198700000,3715690000,91.0,92.0,222.0
128,Yi Yi,The url does not exist!,"romance,history,drama",2000,198700000,300037000,91.0,92.0,222.0
129,Grave of the Fireflies,http://www.rottentomatoes.com/m/21313,"war,drama,anime",1988,57020001,125444002,100.0,95.0,88.0
130,La Strada,http://www.rottentomatoes.com/m/19332,drama,1954,57020001,550813210,97.0,93.0,115.0
131,L.A. Confidential,http://www.rottentomatoes.com/m/12956,"drama,crime",1997,64600000,104652000,99.0,94.0,136.0
132,American Beauty,http://www.rottentomatoes.com/m/12878,"drama,comedy",1999,130100000,202956000,87.0,93.0,122.0
133,Umberto D.,http://www.rottentomatoes.com/m/19664,drama,1952,74300,728883,97.0,93.0,91.0
134,2001: A Space Odyssey,http://www.rottentomatoes.com/m/9917,scifi,1968,1300000,9711000,92.0,89.0,139.0
135,The Night of the Hunter,http://www.rottentomatoes.com/m/18249,mysteryandthriller,1955,57020001,553094010,99.0,90.0,92.0
136,Aliens,http://www.rottentomatoes.com/m/13240,"scifi,action,horror",1986,77600000,183912000,97.0,94.0,137.0
137,The Shop Around the Corner,http://www.rottentomatoes.com/m/18285,romance,1940,57020001,1058861419,100.0,91.0,97.0
138,The Matrix,http://www.rottentomatoes.com/m/12897,"action,scifi",1999,171400000,267384000,88.0,88.0,136.0
139,Unforgiven,http://www.rottentomatoes.com/m/13014,western,1992,1000000,1850000,96.0,93.0,130.0
140,The Great Escape,http://www.rottentomatoes.com/m/17025,"war,drama",1963,57020001,484099808,94.0,95.0,172.0
141,To Kill a Mockingbird,http://www.rottentomatoes.com/m/17873,drama,1962,57020001,490942209,92.0,92.0,129.0
142,Fight Club,http://www.rottentomatoes.com/m/13153,"mysteryandthriller,drama",1999,37000000,57720000,84.0,96.0,139.0
143,8½,http://www.rottentomatoes.com/m/18384,fantasy,1963,50700,430443,98.0,92.0,135.0
144,Raise the Red Lantern,http://www.rottentomatoes.com/m/98818287,drama,1991,22600,43166,96.0,94.0,125.0
145,Barry Lyndon,http://www.rottentomatoes.com/m/11717,drama,1975,57020001,275406605,91.0,92.0,184.0
146,On the Waterfront,http://www.rottentomatoes.com/m/18179,drama,1954,57020001,550813210,99.0,95.0,108.0
147,Raging Bull,http://www.rottentomatoes.com/m/15121,"drama,biography",1980,87300,274995,93.0,93.0,128.0
148,The Cranes Are Flying,http://www.rottentomatoes.com/m/19363,"war,drama,romance",1957,17000,157250,96.0,94.0,95.0
149,The Grapes of Wrath,http://www.rottentomatoes.com/m/18139,drama,1940,57020001,1058861419,100.0,88.0,129.0
150,Rebecca,http://www.rottentomatoes.com/m/17080,mysteryandthriller,1940,57020001,1058861419,100.0,92.0,130.0
151,The Bridge on the River Kwai,http://www.rottentomatoes.com/m/11175,"war,drama",1957,57020001,527435009,95.0,93.0,161.0
152,Cool Hand Luke,http://www.rottentomatoes.com/m/18102,drama,1967,57020001,443615608,100.0,95.0,129.0
153,A Streetcar Named Desire,http://www.rottentomatoes.com/m/10198,drama,1951,57020001,570200010,98.0,90.0,122.0
154,Autumn Sonata,http://www.rottentomatoes.com/m/12336,drama,1978,57020001,227509804,84.0,92.0,97.0
155,Nobody Knows,http://www.rottentomatoes.com/m/10385,drama,2004,683600,943368,93.0,93.0,140.0
156,The Cabinet of Dr. Caligari,http://www.rottentomatoes.com/m/17201,horror,1920,57020001,741260013,100.0,89.0,69.0
157,It Happened One Night,http://www.rottentomatoes.com/m/18256,romance,1934,57020001,1106188019,98.0,93.0,105.0
158,La Dolce Vita,http://www.rottentomatoes.com/m/98829074,drama,1960,57020001,500635609,96.0,90.0,175.0
159,The Wizard of Oz,http://www.rottentomatoes.com/m/9867,"musical,fantasy,kidsandfamily",1939,5500000,102850000,98.0,89.0,101.0
160,Blade Runner,http://www.rottentomatoes.com/m/12886,"scifi,mysteryandthriller",1982,3900000,10491000,90.0,91.0,122.0
161,Aparajito,http://www.rottentomatoes.com/m/20844,drama,1956,57020001,545111210,95.0,93.0,105.0
162,Mary and Max,http://www.rottentomatoes.com/m/770799949,"drama,comedy,animation",2009,57020001,68994201,95.0,92.0,92.0
163,All Quiet on the Western Front,http://www.rottentomatoes.com/m/17121,war,1930,57020001,887231216,98.0,89.0,105.0
164,Throne of Blood,http://www.rottentomatoes.com/m/17149,drama,1957,57020001,527435009,95.0,94.0,108.0
165,Limelight,http://www.rottentomatoes.com/m/9903,"drama,comedy",1952,57020001,559366210,97.0,90.0,145.0
166,"Paris, Texas",http://www.rottentomatoes.com/m/12963,drama,1984,57020001,142550002,97.0,93.0,148.0
167,Make Way for Tomorrow,http://www.rottentomatoes.com/m/770679142,drama,1937,57020001,1029211018,100.0,93.0,94.0
168,The Tale of the Princess Kaguya,http://www.rottentomatoes.com/m/771372814,"fantasy,anime",2013,681100,762832,100.0,90.0,137.0
169,Reservoir Dogs,http://www.rottentomatoes.com/m/14978,"drama,crime",1992,2500000,4625000,92.0,94.0,105.0
170,Los Olvidados,http://www.rottentomatoes.com/m/326393979,drama,1950,57020001,614675611,90.0,95.0,88.0
171,Ivan's Childhood,http://www.rottentomatoes.com/m/574255104,"war,drama",1962,57020001,490942209,100.0,93.0,97.0
172,Memories of Murder,http://www.rottentomatoes.com/m/17410,"crime,mysteryandthriller,drama",2003,14100,19881,91.0,94.0,129.0
173,Song of the Sea,http://www.rottentomatoes.com/m/771380456,"adventure,fantasy,animation",2014,85000,93500,99.0,92.0,94.0
174,The Truman Show,http://www.rottentomatoes.com/m/10679,"drama,comedy",1998,125600000,199704000,95.0,89.0,102.0
175,Forrest Gump,http://www.rottentomatoes.com/m/10036,"drama,comedy",1994,330300000,578025000,84.0,95.0,142.0
176,Anatomy of a Murder,http://www.rottentomatoes.com/m/17143,"mysteryandthriller,drama,crime",1959,57020001,509188609,100.0,90.0,160.0
177,La Haine,http://www.rottentomatoes.com/m/98832611,drama,1995,130300,222813,100.0,95.0,97.0
178,The Man Who Shot Liberty Valance,http://www.rottentomatoes.com/m/17020,western,1962,57020001,490942209,94.0,92.0,122.0
179,Le Samouraï,The url does not exist!,western,1967,57020001,443615608,94.0,92.0,122.0
180,Day of Wrath,http://www.rottentomatoes.com/m/351525233,drama,1943,57020001,856440415,100.0,91.0,97.0
181,Nausicaä of the Valley of the Wind,http://www.rottentomatoes.com/m/10085,"fantasy,anime",1984,57020001,142550002,88.0,91.0,95.0
182,The Red Shoes,http://www.rottentomatoes.com/m/18709,"drama,romance",1948,57020001,614675611,97.0,92.0,133.0
183,Napoleon,http://www.rottentomatoes.com/m/313938020,"history,biography,drama",1927,57020001,851878815,88.0,91.0,235.0
184,Faces Places,The url does not exist!,"history,biography,drama",2017,57020001,60441201,88.0,91.0,235.0
185,Grand Illusion,http://www.rottentomatoes.com/m/17990,"war,drama",1937,516500,9322825,97.0,92.0,117.0
186,The Usual Suspects,http://www.rottentomatoes.com/m/16303,"crime,drama,mysteryandthriller",1995,22600000,38646000,89.0,96.0,105.0
187,Sanjuro,http://www.rottentomatoes.com/m/11935,"adventure,action",1962,57020001,490942209,100.0,95.0,96.0
188,The Hunt,http://www.rottentomatoes.com/m/771307311,drama,2012,611000,690430,93.0,93.0,110.0
189,Se7en,http://www.rottentomatoes.com/m/22538,"mysteryandthriller,drama,crime",1995,100100000,171171000,84.0,95.0,125.0
190,A Clockwork Orange,http://www.rottentomatoes.com/m/15694,"scifi,drama",1971,57020001,366068406,88.0,93.0,137.0
191,Ratatouille,http://www.rottentomatoes.com/m/470554171,"comedy,animation,kidsandfamily",2007,206400000,258000000,96.0,88.0,111.0
192,The Leopard,http://www.rottentomatoes.com/m/10649,"history,drama",1963,57020001,484099808,98.0,89.0,165.0
193,The Exterminating Angel,http://www.rottentomatoes.com/m/381420161,"fantasy,drama,comedy",1962,57020001,490942209,93.0,93.0,92.0
194,Room,The url does not exist!,"fantasy,drama,comedy",2015,57020001,62722001,93.0,93.0,92.0
195,The Best Years of Our Lives,http://www.rottentomatoes.com/m/22292,drama,1946,57020001,760076613,97.0,93.0,172.0
196,Trainspotting,http://www.rottentomatoes.com/m/16743,"drama,comedy",1996,16600000,27556000,91.0,93.0,94.0
197,Monty Python and the Holy Grail,http://www.rottentomatoes.com/m/11450,comedy,1975,1800000,8694000,97.0,95.0,90.0
198,Roman Holiday,http://www.rottentomatoes.com/m/18129,romance,1953,57020001,554804610,97.0,93.0,119.0
199,Toy Story 2,http://www.rottentomatoes.com/m/9414,"adventure,fantasy,animation,kidsandfamily,comedy",1999,245900000,383604000,100.0,88.0,92.0
200,The Elephant Man,http://www.rottentomatoes.com/m/10377,"biography,drama",1980,57020001,179613003,92.0,93.0,125.0
201,Annie Hall,http://www.rottentomatoes.com/m/10183,romance,1977,57020001,244615804,98.0,92.0,93.0
202,Before Sunrise,http://www.rottentomatoes.com/m/12919,romance,1995,4700000,8037000,100.0,93.0,101.0
203,Forbidden Games,http://www.rottentomatoes.com/m/414769001,drama,1952,14000,137340,100.0,92.0,87.0
204,Spotlight,The url does not exist!,drama,2015,14000,15400,100.0,92.0,87.0
205,Castle in the Sky,http://www.rottentomatoes.com/m/17036,"fantasy,anime",1986,57020001,135137402,90.0,93.0,124.0
206,Persepolis,http://www.rottentomatoes.com/m/770671982,"drama,animation",2007,4400000,5500000,96.0,92.0,95.0
207,The Iron Giant,http://www.rottentomatoes.com/m/11685,"adventure,fantasy,animation,kidsandfamily",1999,57020001,88951202,96.0,90.0,86.0
208,Oldboy,http://www.rottentomatoes.com/m/22533,mysteryandthriller,2003,707400,997434,84.0,94.0,118.0
209,Children of Heaven,http://www.rottentomatoes.com/m/10741,drama,1997,925400,1499148,84.0,96.0,88.0
210,A Short Film About Love,http://www.rottentomatoes.com/m/22427,romance,1988,57020001,125444002,95.0,93.0,86.0
211,The Cameraman,http://www.rottentomatoes.com/m/335716406,comedy,1928,57020001,866704015,100.0,94.0,70.0
212,Safety Last!,http://www.rottentomatoes.com/m/563562998,comedy,1923,57020001,866704015,97.0,93.0,74.0
213,The Mother and the Whore,http://www.rottentomatoes.com/m/196119586,drama,1973,11200,65520,96.0,92.0,210.0
214,There Will Be Blood,http://www.rottentomatoes.com/m/770671487,drama,2007,40200000,50250000,92.0,88.0,158.0
215,Harry Potter and the Deathly Hallows: Part 2,http://www.rottentomatoes.com/m/770687943,"fantasy,adventure",2011,381000000,441960000,96.0,89.0,131.0
216,Kind Hearts and Coronets,http://www.rottentomatoes.com/m/19034,"drama,comedy,crime",1949,35900,392028,100.0,94.0,104.0
217,Beauty and the Beast,http://www.rottentomatoes.com/m/9980,"fantasy,animation,kidsandfamily",1991,219000000,418290000,94.0,92.0,84.0
218,12 Years a Slave,http://www.rottentomatoes.com/m/771316210,"history,biography,drama",2013,56700000,63504000,95.0,90.0,134.0
219,Howl's Moving Castle,http://www.rottentomatoes.com/m/75428742,"fantasy,anime",2004,57020001,78687601,87.0,93.0,119.0
220,"Monsters, Inc.",http://www.rottentomatoes.com/m/9382,"fantasy,animation,kidsandfamily,adventure,comedy",2001,57020001,83819401,96.0,90.0,92.0
221,In the Mood for Love,http://www.rottentomatoes.com/m/12154,"romance,drama",2000,2700000,4077000,90.0,94.0,97.0
222,To Live,http://www.rottentomatoes.com/m/19013,drama,1994,2200000,3850000,86.0,96.0,125.0
223,Three Colors: Blue,http://www.rottentomatoes.com/m/381422018,drama,1993,539200,970560,98.0,93.0,97.0
224,Diabolique,http://www.rottentomatoes.com/m/17242,"mysteryandthriller,drama,horror",1955,57020001,553094010,96.0,93.0,116.0
225,Close-Up,http://www.rottentomatoes.com/m/21255,drama,1990,57020001,113469802,88.0,89.0,90.0
226,Werckmeister Harmonies,http://www.rottentomatoes.com/m/266727281,drama,2000,25500,38505,98.0,91.0,145.0
227,Playtime,http://www.rottentomatoes.com/m/20767,comedy,1967,57020001,443615608,98.0,90.0,93.0
228,A Woman Under the Influence,http://www.rottentomatoes.com/m/15567,drama,1974,57020001,300495405,90.0,92.0,155.0
229,The Last Laugh,http://www.rottentomatoes.com/m/147815131,drama,1924,57020001,866704015,100.0,88.0,73.0
230,The Conformist,http://www.rottentomatoes.com/m/136193252,drama,1970,57020001,382034007,98.0,90.0,115.0
231,Ben-Hur,http://www.rottentomatoes.com/m/9402,"adventure,history,drama",1959,57020001,509188609,86.0,89.0,203.0
232,Life Is Beautiful,http://www.rottentomatoes.com/m/10097,"drama,comedy",1997,57600000,93312000,84.0,96.0,122.0
233,The Crowd,http://www.rottentomatoes.com/m/337758515,drama,1928,57020001,866704015,96.0,90.0,104.0
234,The Hidden Fortress,http://www.rottentomatoes.com/m/19475,comedy,1958,57020001,512609809,97.0,93.0,139.0
235,Before Sunset,http://www.rottentomatoes.com/m/12908,"drama,romance",2004,5800000,8004000,95.0,91.0,80.0
236,Marriage Story,The url does not exist!,"drama,romance",2019,5800000,5916000,95.0,91.0,80.0
237,Django Unchained,http://www.rottentomatoes.com/m/771245718,"drama,action,western",2012,162800000,183964000,87.0,91.0,165.0
238,Network,http://www.rottentomatoes.com/m/16424,"drama,comedy",1976,57020001,260581405,91.0,93.0,121.0
239,For a Few Dollars More,http://www.rottentomatoes.com/m/60565656,western,1965,57020001,470415008,91.0,94.0,132.0
240,Pan's Labyrinth,http://www.rottentomatoes.com/m/343934933,"fantasy,drama,war",2006,37600000,48504000,95.0,91.0,120.0
241,Viridiana,http://www.rottentomatoes.com/m/287449364,drama,1961,57020001,495503809,96.0,90.0,90.0
242,The Last Picture Show,http://www.rottentomatoes.com/m/13338,drama,1971,57020001,366068406,100.0,90.0,118.0
243,Ali: Fear Eats the Soul,http://www.rottentomatoes.com/m/347990353,"romance,drama",1974,57020001,300495405,100.0,91.0,94.0
244,Incendies,http://www.rottentomatoes.com/m/771197495,drama,2010,6900000,8211000,93.0,92.0,130.0
245,Full Metal Jacket,http://www.rottentomatoes.com/m/16673,"history,drama,war",1987,42900000,98241000,92.0,94.0,116.0
246,Farewell My Concubine,http://www.rottentomatoes.com/m/13016,drama,1993,2500000,4500000,86.0,93.0,157.0
247,Touch of Evil,http://www.rottentomatoes.com/m/17060,"mysteryandthriller,drama,crime",1958,57020001,512609809,95.0,92.0,95.0
248,Fargo,http://www.rottentomatoes.com/m/104762093,"crime,comedy,drama,mysteryandthriller",1996,24500000,40670000,94.0,93.0,97.0
249,Central Station,http://www.rottentomatoes.com/m/14037,drama,1998,6200000,9858000,94.0,95.0,110.0
